Field,Control/Shelter,Plot,Details,Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (°C),Soil Temperature (°F),Bulk EC (Raw),Bulk EC (TC),Pore Water EC,Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
Holies,Control,C1,NA,HG259498,258539,28/09/2023 14:26,Default,51.515287,-1.148798,0.236,23.6,20.9,69.6,0.2,0.21,1.49,3.4,14.5,7.1,0.49,,Default,0,0,0,0,0,0
Holies,Control,C1,NA,HG259498,258539,28/09/2023 14:26,Default,51.515287,-1.148798,0.185,18.5,20.9,69.6,0.15,0.16,1.62,3.4,11.2,5.4,0.48,,Default,0,0,0,0,0,0
Holies,Control,C1,NA,HG259498,Unknown,28/09/2023 14:27,Default,51.515287,-1.148798,0.236,23.6,20.7,69.2,0.17,0.18,1.28,3.4,14.5,6.2,0.43,,Default,0,0,0,0,0,0
Holies,Shelter,S1,right panel partly damaged,HG259498,258539,28/09/2023 14:27,Default,51.515322,-1.148833,0.034,3.4,20.7,69.2,0.04,0.04,7.88,3.4,3.8,1.5,0.39,,Default,0,0,0,0,0,0
Holies,Shelter,S1,right panel partly damaged,HG259498,258539,28/09/2023 14:28,Default,51.515322,-1.148833,0.086,8.6,20.5,68.9,0.08,0.09,2.84,3.4,5.9,2.9,0.49,,Default,0,0,0,0,0,0
Holies,Shelter,S1,right panel partly damaged,HG259498,258539,28/09/2023 14:28,Default,51.515322,-1.148833,0.066,6.6,20.5,68.9,0.05,0.06,2.95,3.4,5,1.9,0.38,,Default,0,0,0,0,0,0
55,Shelter,S3,Bottom panel replaced with tarp (partly functional),HG259498,258539,29/09/2023 11:36,Default,51.453027,-1.762937,0.026,2.6,15.5,59.9,0.04,0.04,31.51,3.4,3.5,1.3,0.37,,Default,0,0,0,0,0,0
55,Shelter,S3,Bottom panel replaced with tarp (partly functional),HG259498,258539,29/09/2023 11:37,Default,51.453027,-1.762937,0.108,10.8,15.5,59.9,0.11,0.12,2.7,3.4,6.9,3.8,0.55,,Default,0,0,0,0,0,0
55,Shelter,S3,Bottom panel replaced with tarp (partly functional),HG259498,258539,29/09/2023 11:37,Default,51.453027,-1.762937,0.115,11.5,15.7,60.2,0.09,0.1,2.02,3.4,7.3,3.1,0.42,,Default,0,0,0,0,0,0
55,Control,C3,NA,HG259498,Unknown,29/09/2023 11:38,Default,51.452998,-1.762998,0.41,41,16,60.8,0.45,0.52,1.59,3.4,29.2,16.1,0.55,,Default,0,0,0,0,0,0
55,Control,C3,NA,HG259498,Unknown,29/09/2023 11:39,Default,51.452998,-1.762998,0.404,40.4,16.3,61.4,0.39,0.45,1.41,3.4,28.6,14.1,0.49,,Default,0,0,0,0,0,0
55,Control,C3,NA,HG259498,Unknown,29/09/2023 11:39,Default,51.452998,-1.762998,0.378,37.8,16.3,61.4,0.35,0.41,1.42,3.4,26.1,12.7,0.49,,Default,0,0,0,0,0,0
55,Control,C2,NA,HG259498,Unknown,29/09/2023 11:40,Default,51.453052,-1.762933,0.409,40.9,16.7,62,0.36,0.42,1.29,3.4,29.1,13.1,0.45,,Default,0,0,0,0,0,0
55,Control,C2,NA,HG259498,Unknown,29/09/2023 11:40,Default,51.453052,-1.762933,0.395,39.5,16.7,62,0.39,0.44,1.43,3.4,27.7,13.9,0.5,,Default,0,0,0,0,0,0
55,Control,C2,NA,HG259498,Unknown,29/09/2023 11:41,Default,51.453052,-1.762933,0.404,40.4,16.8,62.3,0.38,0.44,1.38,3.4,28.6,13.7,0.48,,Default,0,0,0,0,0,0
55,Shelter,S2,NA,HG259498,258539,29/09/2023 11:42,Default,51.453057,-1.763015,0.074,7.4,17,62.6,0.07,0.08,3.15,3.4,5.4,2.4,0.44,,Default,0,0,0,0,0,0
55,Shelter,S2,NA,HG259498,258539,29/09/2023 11:42,Default,51.453057,-1.763015,0.039,3.9,17,62.6,0.04,0.05,6.57,3.4,4,1.5,0.38,,Default,0,0,0,0,0,0
55,Shelter,S2,NA,HG259498,258539,29/09/2023 11:42,Default,51.453057,-1.763015,0.104,10.4,17.2,62.9,0.09,0.1,2.32,3.4,6.8,3.3,0.49,,Default,0,0,0,0,0,0
55,Shelter,S1,NA,HG259498,258539,29/09/2023 11:44,Default,51.453073,-1.763043,0.036,3.6,17.2,62.9,0.04,0.05,7.88,3.4,3.9,1.6,0.41,,Default,0,0,0,0,0,0
55,Shelter,S1,NA,HG259498,258539,29/09/2023 11:44,Default,51.453073,-1.763043,0.102,10.2,17.2,62.9,0.1,0.12,2.95,3.4,6.6,3.7,0.56,,Default,0,0,0,0,0,0
55,Shelter,S1,NA,HG259498,258539,29/09/2023 11:44,Default,51.453073,-1.763043,0.033,3.3,17.2,62.9,0.03,0.04,7.88,3.4,3.8,1.1,0.29,,Default,0,0,0,0,0,0
55,Control,C1,NA,HG259498,Unknown,29/09/2023 11:45,Default,51.453075,-1.762985,0.434,43.4,17.5,63.5,0.41,0.46,1.29,3.4,31.6,14.6,0.46,,Default,0,0,0,0,0,0
55,Control,C1,NA,HG259498,Unknown,29/09/2023 11:45,Default,51.453078,-1.762992,0.415,41.5,17.5,63.5,0.43,0.48,1.44,3.4,29.7,15.3,0.52,,Default,0,0,0,0,0,0
55,Control,C1,NA,HG259498,Unknown,29/09/2023 11:46,Default,51.453078,-1.762992,0.442,44.2,17.7,63.8,0.46,0.52,1.41,3.4,32.4,16.7,0.52,,Default,0,0,0,0,0,0
54,Control,C3,NA,HG259498,Unknown,29/09/2023 13:30,Default,51.449573,-1.773125,0.46,46,20.3,68.5,0.43,0.46,1.17,3.4,34.3,15.4,0.45,,Default,0,0,0,0,0,0
54,Control,C3,NA,HG259498,Unknown,29/09/2023 13:30,Default,51.449573,-1.773125,0.388,38.8,20.3,68.5,0.28,0.31,1.03,3.4,27.1,10.3,0.38,,Default,0,0,0,0,0,0
54,Control,C3,NA,HG259498,Unknown,29/09/2023 13:30,Default,51.449573,-1.773125,0.349,34.9,20.1,68.2,0.25,0.27,1.06,3.4,23.5,9,0.38,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:31,Default,51.449632,-1.773102,0.049,4.9,20.1,68.2,0.04,0.05,3.94,3.4,4.4,1.6,0.36,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:32,Default,51.449632,-1.773102,0.068,6.8,19.9,67.8,0.06,0.07,3.24,3.4,5.1,2.3,0.45,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:32,Default,51.449632,-1.773102,0.062,6.2,19.9,67.8,0.06,0.06,3.15,3.4,4.9,2.2,0.45,,Default,0,0,0,0,0,0
54,Control,C2,NA,HG259498,Unknown,29/09/2023 13:33,Default,51.449625,-1.773183,0.431,43.1,19.7,67.5,0.37,0.4,1.13,3.4,31.4,13.5,0.43,,Default,0,0,0,0,0,0
54,Control,C2,NA,HG259498,Unknown,29/09/2023 13:33,Default,51.449625,-1.773183,0.44,44,19.7,67.5,0.36,0.39,1.07,3.4,32.2,13,0.4,,Default,0,0,0,0,0,0
54,Control,C2,NA,HG259498,Unknown,29/09/2023 13:33,Default,51.449625,-1.773183,0.413,41.3,19.7,67.5,0.34,0.37,1.12,3.4,29.5,12.4,0.42,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:34,Default,51.44966,-1.773118,0.139,13.9,19.3,66.8,0.15,0.16,2.47,3.4,8.5,5.4,0.64,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:35,Default,51.44966,-1.773118,0.132,13.2,19.3,66.8,0.1,0.11,1.84,3.4,8.1,3.7,0.46,,Default,0,0,0,0,0,0
54,Shelter,S2,NA,HG259498,258539,29/09/2023 13:35,Default,51.44966,-1.773118,0.062,6.2,19.3,66.8,0.05,0.06,3.15,3.4,4.9,1.9,0.39,,Default,0,0,0,0,0,0
54,Control,C1,NA,HG259498,Unknown,29/09/2023 13:35,Default,51.44966,-1.773118,0.326,32.6,19.3,66.8,0.25,0.27,1.18,3.4,21.4,9,0.42,,Default,0,0,0,0,0,0
54,Control,C1,NA,HG259498,Unknown,29/09/2023 13:35,Default,51.44966,-1.773118,0.315,31.5,19.3,66.8,0.31,0.33,1.51,3.4,20.6,11,0.53,,Default,0,0,0,0,0,0
54,Control,C1,NA,HG259498,258539,29/09/2023 13:35,Default,51.44966,-1.773118,0.27,27,19.3,66.8,0.19,0.2,1.16,3.4,17,6.8,0.4,,Default,0,0,0,0,0,0
54,Shelter,S1,NA,HG259498,258539,29/09/2023 13:37,Default,51.449675,-1.773225,0.038,3.8,18.9,66.1,0.04,0.04,5.25,3.4,4,1.4,0.35,,Default,0,0,0,0,0,0
54,Shelter,S1,NA,HG259498,258539,29/09/2023 13:37,Default,51.449675,-1.773225,0.076,7.6,18.9,66.1,0.08,0.08,3,3.4,5.5,2.8,0.51,,Default,0,0,0,0,0,0
54,Shelter,S1,NA,HG259498,258539,29/09/2023 13:38,Default,51.449675,-1.773225,0.072,7.2,19.1,66.4,0.06,0.07,2.9,3.4,5.3,2.3,0.43,,Default,0,0,0,0,0,0
2,Shelter,S1,Only middle sheet whole,HG259498,Unknown,02/10/2023 11:24,Default,51.573588,-1.576338,0.245,24.5,18.4,65.1,0.22,0.24,1.62,3.4,15.1,7.8,0.52,,Default,0,0,0,0,0,0
2,Shelter,S1,Only middle sheet whole,HG259498,Unknown,02/10/2023 11:24,Default,51.573588,-1.576338,0.244,24.4,18.4,65.1,0.22,0.24,1.62,3.4,15.1,7.8,0.52,,Default,0,0,0,0,0,0
2,Shelter,S1,Only middle sheet whole,HG259498,Unknown,02/10/2023 11:24,Default,51.573588,-1.576338,0.353,35.3,18.4,65.1,0.33,0.37,1.43,3.4,23.8,12,0.5,,Default,0,0,0,0,0,0
2,Control,C1,NA,HG259498,Unknown,02/10/2023 11:25,Default,51.573533,-1.576312,0.391,39.1,18.6,65.4,0.35,0.38,1.25,3.4,27.3,12.5,0.46,,Default,0,0,0,0,0,0
2,Control,C1,NA,HG259498,Unknown,02/10/2023 11:25,Default,51.573533,-1.576303,0.411,41.1,18.8,65.8,0.35,0.39,1.19,3.4,29.3,12.6,0.43,,Default,0,0,0,0,0,0
2,Control,C1,NA,HG259498,Unknown,02/10/2023 11:25,Default,51.573533,-1.576328,0.389,38.9,18.8,65.8,0.33,0.36,1.2,3.4,27.1,11.9,0.44,,Default,0,0,0,0,0,0
2,Shelter,S2,Roof missing,HG259498,Unknown,02/10/2023 11:27,Default,51.573598,-1.576258,0.365,36.5,18.4,65.1,0.33,0.36,1.32,3.4,24.9,11.7,0.47,,Default,0,0,0,0,0,0
2,Shelter,S2,Roof missing,HG259498,Unknown,02/10/2023 11:27,Default,51.573598,-1.576258,0.341,34.1,18.6,65.4,0.32,0.36,1.46,3.4,22.8,11.6,0.51,,Default,0,0,0,0,0,0
2,Shelter,S2,Roof missing,HG259498,Unknown,02/10/2023 11:27,Default,51.573598,-1.576258,0.339,33.9,18.8,65.8,0.3,0.34,1.4,3.4,22.6,10.9,0.48,,Default,0,0,0,0,0,0
2,Control,C2,NA,HG259498,Unknown,02/10/2023 11:28,Default,51.573597,-1.576237,0.385,38.5,18.8,65.8,0.36,0.39,1.31,3.4,26.8,12.8,0.48,,Default,0,0,0,0,0,0
2,Control,C2,NA,HG259498,Unknown,02/10/2023 11:28,Default,51.573597,-1.576237,0.412,41.2,18.8,65.8,0.37,0.4,1.21,3.4,29.4,13.2,0.45,,Default,0,0,0,0,0,0
2,Control,C2,NA,HG259498,Unknown,02/10/2023 11:29,Default,51.573593,-1.576253,0.407,40.7,18.8,65.8,0.35,0.38,1.17,3.4,29,12.4,0.43,,Default,0,0,0,0,0,0
2,Control,C3,NA,HG259498,Unknown,02/10/2023 11:38,Default,51.573645,-1.576185,0.407,40.7,18.6,65.4,0.4,0.44,1.36,3.4,28.9,14.2,0.49,,Default,0,0,0,0,0,0
2,Control,C3,NA,HG259498,Unknown,02/10/2023 11:38,Default,51.573645,-1.576185,0.36,36,18.6,65.4,0.31,0.34,1.28,3.4,24.4,11.2,0.46,,Default,0,0,0,0,0,0
2,Control,C3,NA,HG259498,Unknown,02/10/2023 11:38,Default,51.573645,-1.576185,0.336,33.6,18.6,65.4,0.28,0.31,1.29,3.4,22.3,10,0.45,,Default,0,0,0,0,0,0
2,Shelter,S3,Western sheet replaced by tarp,HG259498,258539,02/10/2023 11:38,Default,51.573603,-1.576168,0.133,13.3,18.8,65.8,0.1,0.11,1.81,3.4,8.2,3.7,0.45,,Default,0,0,0,0,0,0
2,Shelter,S3,Western sheet replaced by tarp,HG259498,Unknown,02/10/2023 11:39,Default,51.573603,-1.576162,0.204,20.4,18.8,65.8,0.17,0.19,1.66,3.4,12.4,6.1,0.49,,Default,0,0,0,0,0,0
2,Shelter,S3,Western sheet replaced by tarp,HG259498,258539,02/10/2023 11:39,Default,51.573603,-1.576162,0.175,17.5,18.8,65.8,0.15,0.17,1.89,3.4,10.5,5.4,0.51,,Default,0,0,0,0,0,0
19,Shelter,S1,NA,HG259498,258539,03/10/2023 11:42,Default,51.064735,-2.110387,0.017,1.7,14.9,58.8,0.05,0.05,0,3.4,3.2,1.6,0.5,,Default,0,0,0,0,0,0
19,Shelter,S1,NA,HG259498,258539,03/10/2023 11:42,Default,51.0647,-2.110353,0.018,1.8,14.9,58.8,0.05,0.06,0,3.4,3.3,1.7,0.52,,Default,0,0,0,0,0,0
19,Shelter,S1,NA,HG259498,258539,03/10/2023 11:43,Default,51.0647,-2.110353,0.011,1.1,14.9,58.8,0.04,0.04,0,3.4,3.1,1.3,0.42,,Default,0,0,0,0,0,0
19,Control,C1,NA,HG259498,Unknown,03/10/2023 11:44,Default,51.064745,-2.110398,0.407,40.7,15,59.1,0.53,0.62,1.92,3.4,28.9,19,0.66,,Default,0,0,0,0,0,0
19,Control,C1,NA,HG259498,Unknown,03/10/2023 11:45,Default,51.064748,-2.110407,0.383,38.3,15,59.1,0.47,0.55,1.87,3.4,26.6,17,0.64,,Default,0,0,0,0,0,0
19,Control,C1,NA,HG259498,Unknown,03/10/2023 11:45,Default,51.064757,-2.110395,0.496,49.6,15,59.1,0.63,0.73,1.65,3.4,38.3,22.6,0.59,,Default,0,0,0,0,0,0
19,Shelter,S2,NA,HG259498,258539,03/10/2023 11:46,Default,51.064697,-2.110437,0.032,3.2,15,59.1,0.06,0.07,18.38,3.4,3.7,2.2,0.59,,Default,0,0,0,0,0,0
19,Shelter,S2,NA,HG259498,258539,03/10/2023 11:47,Default,51.064698,-2.110413,0.017,1.7,15,59.1,0.04,0.04,0,3.4,3.2,1.3,0.41,,Default,0,0,0,0,0,0
19,Shelter,S2,NA,HG259498,258539,03/10/2023 11:47,Default,51.064432,-2.110654,0.029,2.9,15,59.1,0.05,0.06,23.63,3.4,3.6,1.8,0.5,,Default,0,0,0,0,0,0
19,Control,C2,NA,HG259498,Unknown,03/10/2023 11:48,Default,51.064727,-2.11046,0.372,37.2,15,59.1,0.41,0.47,1.67,3.4,25.6,14.6,0.57,,Default,0,0,0,0,0,0
19,Control,C2,NA,HG259498,Unknown,03/10/2023 11:48,Default,51.064727,-2.11046,0.34,34,15,59.1,0.4,0.46,1.88,3.4,22.7,14.3,0.63,,Default,0,0,0,0,0,0
19,Control,C2,NA,HG259498,Unknown,03/10/2023 11:48,Default,51.064727,-2.11046,0.468,46.8,15,59.1,0.62,0.73,1.81,3.4,35.2,22.4,0.64,,Default,0,0,0,0,0,0
19,Shelter,S3,NA,HG259498,258539,03/10/2023 11:50,Default,51.064697,-2.11053,0.065,6.5,15,59.1,0.08,0.09,4.43,3.4,5,2.9,0.58,,Default,0,0,0,0,0,0
19,Shelter,S3,NA,HG259498,258539,03/10/2023 11:50,Default,51.064697,-2.11053,0.094,9.4,14.9,58.8,0.11,0.13,3.53,3.4,6.3,3.9,0.62,,Default,0,0,0,0,0,0
19,Shelter,S3,NA,HG259498,258539,03/10/2023 11:50,Default,51.064697,-2.11053,0.058,5.8,14.9,58.8,0.07,0.08,4.85,3.4,4.7,2.5,0.53,,Default,0,0,0,0,0,0
19,Control,C3,NA,HG259498,Unknown,03/10/2023 11:51,Default,51.064675,-2.110495,0.371,37.1,14.9,58.8,0.42,0.49,1.75,3.4,25.4,15.2,0.6,,Default,0,0,0,0,0,0
19,Control,C3,NA,HG259498,Unknown,03/10/2023 11:51,Default,51.064675,-2.110495,0.51,51,14.9,58.8,0.71,0.83,1.79,3.4,39.9,25.5,0.64,,Default,0,0,0,0,0,0
19,Control,C3,NA,HG259498,Unknown,03/10/2023 11:51,Default,51.064663,-2.1105,0.439,43.9,14.9,58.8,0.61,0.71,1.95,3.4,32.1,22,0.69,,Default,0,0,0,0,0,0
20,Shelter,S3,Left roof sheet blown away,HG259498,258539,03/10/2023 14:58,Default,51.06249,-0.973815,0.073,7.3,18.8,65.8,0.08,0.09,3.55,3.4,5.4,2.8,0.52,,Default,0,0,0,0,0,0
20,Shelter,S3,Left roof sheet blown away,HG259498,258539,03/10/2023 14:59,Default,51.062458,-0.97381,0.024,2.4,18.8,65.8,0.04,0.04,31.51,3.4,3.5,1.5,0.43,,Default,0,0,0,0,0,0
20,Shelter,S3,Left roof sheet blown away,HG259498,258539,03/10/2023 14:59,Default,51.062458,-0.97381,0.052,5.2,18.8,65.8,0.06,0.06,4.3,3.4,4.5,2,0.44,,Default,0,0,0,0,0,0
20,Control,C3,NA,HG259498,Unknown,03/10/2023 14:59,Default,51.06242,-0.973828,0.403,40.3,18.8,65.8,0.47,0.51,1.6,3.4,28.5,16.8,0.59,,Default,0,0,0,0,0,0
20,Control,C3,NA,HG259498,Unknown,03/10/2023 14:59,Default,51.06242,-0.973818,0.32,32,18.6,65.4,0.3,0.33,1.48,3.4,21,10.7,0.51,,Default,0,0,0,0,0,0
20,Control,C3,NA,HG259498,Unknown,03/10/2023 15:00,Default,51.06242,-0.973818,0.357,35.7,18.6,65.4,0.39,0.43,1.63,3.4,24.2,14,0.58,,Default,0,0,0,0,0,0
20,Shelter,S2,NA,HG259498,258539,03/10/2023 15:02,Default,51.062387,-0.973745,0.022,2.2,18,64.5,0.04,0.04,0,3.4,3.4,1.4,0.41,,Default,0,0,0,0,0,0
20,Shelter,S2,NA,HG259498,258539,03/10/2023 15:03,Default,51.062438,-0.973748,0.063,6.3,18,64.5,0.06,0.06,3.15,3.4,4.9,2,0.41,,Default,0,0,0,0,0,0
20,Shelter,S2,NA,HG259498,258539,03/10/2023 15:03,Default,51.064908,-0.968719,0.058,5.8,18,64.5,0.06,0.07,4.24,3.4,4.7,2.2,0.47,,Default,0,0,0,0,0,0
20,Control,C2,NA,HG259498,Unknown,03/10/2023 15:03,Default,51.062457,-0.973808,0.51,51,18,64.5,0.57,0.63,1.36,3.4,39.9,20.6,0.52,,Default,0,0,0,0,0,0
20,Control,C2,NA,HG259498,Unknown,03/10/2023 15:03,Default,51.06245,-0.973795,0.479,47.9,18.2,64.8,0.47,0.52,1.24,3.4,36.5,17.1,0.47,,Default,0,0,0,0,0,0
20,Control,C2,NA,HG259498,Unknown,03/10/2023 15:04,Default,51.06245,-0.973795,0.465,46.5,18,64.5,0.57,0.62,1.55,3.4,34.9,20.3,0.58,,Default,0,0,0,0,0,0
20,Shelter,S1,NA,HG259498,258539,03/10/2023 15:04,Default,51.062482,-0.973777,0.044,4.4,17.9,64.1,0.06,0.06,5.91,3.4,4.2,2.1,0.5,,Default,0,0,0,0,0,0
20,Shelter,S1,NA,HG259498,258539,03/10/2023 15:04,Default,51.062482,-0.973777,0.013,1.3,17.9,64.1,0.03,0.03,0,3.4,3.1,1.1,0.35,,Default,0,0,0,0,0,0
20,Shelter,S1,NA,HG259498,258539,03/10/2023 15:05,Default,51.062482,-0.973777,0.016,1.6,17.9,64.1,0.04,0.05,0,3.4,3.2,1.5,0.47,,Default,0,0,0,0,0,0
20,Control,C1,NA,HG259498,Unknown,03/10/2023 15:05,Default,51.064908,-0.968719,0.491,49.1,17.9,64.1,0.74,0.82,1.88,3.4,37.8,26.5,0.7,,Default,0,0,0,0,0,0
20,Control,C1,NA,HG259498,Unknown,03/10/2023 15:05,Default,51.062473,-0.973692,0.428,42.8,17.9,64.1,0.59,0.65,1.86,3.4,31,21.1,0.68,,Default,0,0,0,0,0,0
20,Control,C1,NA,HG259498,Unknown,03/10/2023 15:05,Default,51.062473,-0.973692,0.371,37.1,17.9,64.1,0.43,0.48,1.71,3.4,25.5,15.5,0.61,,Default,0,0,0,0,0,0
